distance_km,ngo_members,expiry_hours_left,past_success_rate,allocation_score
9.89,155,35.4,0.7,0.8559
25.13,6,46.6,0.64,0.6253
7.76,42,21.3,0.88,0.8075
31.26,16,25.2,0.11,0.5102
1.85,153,46.4,0.66,0.8095
14.17,6,43.7,0.58,0.7269
16.32,15,46.6,0.35,0.5903
6.83,93,17.8,0.62,0.8192
2.05,221,37.3,0.75,0.8867
2.96,104,30.3,0.81,0.858
26.66,55,42.7,0.52,0.7752
14.12,41,21.1,0.85,0.8641
48.13,19,20.3,0.23,0.5504
41.53,86,9.8,0.58,0.6634
8.15,10,11.7,0.63,0.582
5.52,11,16.9,0.44,0.5883
9.54,183,46.2,0.96,0.9199
14.47,7,14.1,0.43,0.618
85.38,18,32.6,0.23,0.5088
15.85,9,40.3,0.41,0.6821
14.85,17,31.3,0.63,0.701
2.91,134,42.2,0.62,0.8677
15.59,18,5.4,0.13,0.5839
2.26,13,43.2,0.56,0.6768
21.61,17,34.5,0.46,0.6769
17.3,9,18.3,0.45,0.6316
32.18,39,28.1,0.46,0.6573
4.4,146,45.8,0.83,0.9288
66.77,100,14.8,0.77,0.7155
24.32,47,5.6,0.5,0.6394
24.38,65,17.9,0.79,0.7828
14.42,85,31.5,0.69,0.8086
9.92,9,28.2,0.49,0.6581
1.26,91,17.9,0.44,0.7935
20.0,9,3.4,0.51,0.5991
8.3,84,13.7,0.78,0.9262
3.9,19,26.8,0.4,0.7247
19.42,32,12.6,0.8,0.8657
14.03,37,9.1,0.59,0.7219
20.16,39,41.3,0.61,0.733
56.85,47,19.2,0.31,0.5805
47.65,15,4.3,0.47,0.4972
37.77,6,39.3,0.37,0.5645
33.04,21,9.3,0.76,0.6126
8.83,138,41.3,0.92,0.8966
35.53,24,43.1,0.59,0.6283
60.66,47,30.7,0.47,0.6278
31.68,9,24.2,0.81,0.7769
9.14,11,7.7,0.35,0.6221
35.0,66,4.8,0.5,0.5773
85.88,74,18.7,0.2,0.4701
13.15,7,6.6,0.28,0.6306
65.99,28,14.4,0.32,0.5226
99.64,8,27.0,0.32,0.4247
12.62,54,28.5,0.49,0.7301
9.22,48,4.7,0.79,0.8117
23.59,13,43.8,0.36,0.6105
33.77,223,8.1,0.76,0.76
36.94,36,20.5,0.63,0.7565
58.42,99,12.6,0.84,0.7435
19.75,27,6.3,0.25,0.6154
16.96,109,20.0,0.72,0.8525
3.43,5,17.5,0.09,0.5917
31.12,30,30.2,0.11,0.6004
12.79,200,24.2,0.96,0.8519
8.98,118,23.3,0.89,0.8579
4.2,21,9.3,0.22,0.6536
32.63,54,4.8,0.52,0.5775
4.58,16,18.4,0.74,0.8244
45.62,40,26.0,0.32,0.4605
6.77,28,1.9,0.33,0.6716
23.23,82,24.4,0.44,0.7577
11.8,11,14.3,0.77,0.751
5.92,10,8.2,0.49,0.6695
4.31,118,4.8,0.81,0.8612
34.47,19,9.0,0.47,0.6388
4.64,24,21.0,0.36,0.6868
7.31,48,8.3,0.94,0.8262
23.38,76,29.0,0.9,0.7668
36.01,172,6.8,0.82,0.7854
37.38,12,38.4,0.67,0.6314
22.38,42,17.9,0.48,0.6594
7.67,73,24.6,0.36,0.7759
47.89,53,6.5,0.58,0.6406
15.75,117,38.1,0.95,0.8322
1.18,47,36.8,0.48,0.8356
3.75,18,34.9,0.22,0.7098
6.3,26,9.5,0.35,0.6985
19.41,5,42.0,0.58,0.6611
19.16,32,35.6,0.51,0.7395
84.28,96,6.9,0.78,0.6478
0.59,25,19.7,0.36,0.7502
27.25,35,11.6,0.52,0.6951
9.5,48,30.7,0.77,0.84
3.72,31,5.0,0.61,0.7274
46.17,16,10.0,0.26,0.4387
30.38,35,25.6,0.57,0.6983
58.92,28,13.7,0.43,0.5597
25.67,58,2.3,0.67,0.6532
4.43,57,12.2,0.51,0.7272
35.97,30,32.4,0.45,0.5479
45.14,90,17.1,0.64,0.6091
20.07,31,26.9,0.49,0.7399
32.67,32,2.1,0.37,0.547
3.5,95,47.3,0.46,0.704
16.66,57,40.0,0.49,0.8049
4.36,127,20.7,0.99,0.9089
18.98,19,19.3,0.3,0.5842
17.21,37,32.2,0.62,0.7705
1.56,39,29.1,0.5,0.7796
26.55,39,33.4,0.5,0.6278
18.34,27,5.3,0.73,0.6922
41.76,70,38.9,0.63,0.6171
88.41,149,2.9,0.72,0.4978
24.41,22,44.4,0.59,0.6188
3.07,9,33.7,0.53,0.7203
16.01,83,16.0,0.68,0.8267
32.57,314,17.5,0.88,0.7178
41.88,212,37.1,0.93,0.7972
7.27,22,12.0,0.59,0.6782
5.42,154,38.0,0.9,1.0
4.16,241,11.9,0.62,0.9364
5.74,14,11.4,0.59,0.7098
28.9,64,8.2,0.61,0.6597
18.48,48,5.3,0.51,0.6975
16.51,9,20.2,0.46,0.6012
2.19,17,33.1,0.18,0.5964
6.71,110,38.5,0.82,0.8947
23.3,53,36.4,0.76,0.7278
4.01,90,40.1,0.61,0.8201
6.52,55,26.4,0.61,0.7702
66.43,25,30.7,0.4,0.5156
17.95,26,30.2,0.4,0.6426
0.95,24,24.0,0.4,0.6644
32.18,64,11.4,0.46,0.7108
60.76,13,21.3,0.33,0.5494
5.73,16,2.5,0.29,0.6204
69.46,15,41.8,0.43,0.4677
1.16,131,30.0,0.93,0.922
23.64,33,10.4,0.55,0.6423
12.65,5,4.4,0.3,0.5412
24.25,103,37.7,0.88,0.9429
24.74,46,1.5,0.76,0.6687
1.18,9,19.7,0.6,0.7135
2.71,55,34.2,0.35,0.7571
25.54,85,17.0,0.52,0.7412
26.8,9,3.8,0.8,0.6102
22.0,39,27.1,0.42,0.6201
23.3,8,2.4,0.37,0.5055
27.65,32,17.3,0.21,0.5169
18.45,126,10.9,0.6,0.7994
25.66,124,9.4,0.87,0.7907
14.96,27,28.9,0.52,0.706
21.89,24,37.4,0.21,0.5007
35.81,33,12.7,0.78,0.7441
1.25,71,32.2,0.76,0.8421
2.87,20,3.7,0.49,0.6735
8.1,40,3.0,0.59,0.6242
22.48,12,2.4,0.84,0.6804
70.57,9,32.6,0.59,0.532
19.74,106,27.8,0.88,0.8608
5.36,58,19.5,0.5,0.8193
31.0,46,35.7,0.85,0.716
33.49,76,38.5,0.78,0.6937
24.28,29,22.1,0.31,0.6002
19.0,60,30.1,0.43,0.683
8.85,28,19.7,0.21,0.6917
34.03,68,45.9,0.55,0.6847
2.64,38,13.1,0.57,0.749
7.96,52,34.7,0.81,0.7844
15.4,66,6.0,0.51,0.6961
1.39,55,45.7,0.7,0.8566
11.09,96,43.3,0.37,0.7011
35.09,32,32.4,0.77,0.7426
40.23,17,5.5,0.2,0.5331
5.78,29,28.9,0.47,0.661
25.79,63,47.6,0.34,0.6367
6.91,9,5.0,0.34,0.5936
32.72,18,26.4,0.37,0.707
8.6,60,47.7,0.47,0.756
63.72,14,33.4,0.44,0.5319
28.73,26,32.3,0.33,0.6562
15.22,53,5.2,0.52,0.6411
9.43,9,45.0,0.39,0.5755
18.86,41,44.2,0.66,0.7267
42.57,106,38.9,0.91,0.7659
4.31,64,17.3,0.62,0.93
29.45,14,24.6,0.42,0.5643
1.02,12,46.3,0.49,0.5774
2.73,56,11.2,0.79,0.8675
30.85,35,3.7,0.63,0.642
1.79,40,47.8,0.8,0.8882
15.47,32,7.1,0.49,0.7518
26.96,78,1.5,0.66,0.6496
29.07,12,26.2,0.27,0.5121
8.35,71,23.4,0.76,0.7174
45.03,160,38.0,0.95,0.793
20.78,58,43.1,0.8,0.7995
3.75,71,25.1,0.6,0.7678
7.53,26,37.4,0.65,0.7454
22.09,77,13.5,0.53,0.7446
30.3,56,25.9,0.34,0.735
33.9,58,7.0,0.72,0.6133
